category_name,level,parent,url,product_count,scraped_at
Instrumentos musicales,2,Instrumentos musicales,https://www.dismac.com.bo/categorias/instrumentos-musicales/instrumentos-musicales-299.html,0,2025-11-13T00:26:11.409430
Accesorios musicales,3,Instrumentos musicales > Instrumentos musicales,https://www.dismac.com.bo/categorias/instrumentos-musicales/instrumentos-musicales-299/accesorios-musicales-690.html,23,2025-11-13T00:26:17.476120
Batería y percusión,3,Instrumentos musicales > Instrumentos musicales,https://www.dismac.com.bo/categorias/instrumentos-musicales/instrumentos-musicales-299/bateria-y-percusion-689.html,22,2025-11-13T00:26:23.364462
Instrumentos de Cuerda,3,Instrumentos musicales > Instrumentos musicales,https://www.dismac.com.bo/categorias/instrumentos-musicales/instrumentos-musicales-299/instrumentos-de-cuerda-429.html,16,2025-11-13T00:26:28.415642
Teclados y pianos,3,Instrumentos musicales > Instrumentos musicales,https://www.dismac.com.bo/categorias/instrumentos-musicales/instrumentos-musicales-299/teclados-y-pianos-427.html,14,2025-11-13T00:26:33.865219
Infantil y juguetes,1,,https://www.dismac.com.bo/categorias/infantil-y-juguetes-152.html,307,2025-11-13T00:26:39.820210
Bebé,2,Infantil y juguetes,https://www.dismac.com.bo/categorias/infantil-y-juguetes-152/bebe-179.html,0,2025-11-13T00:26:44.585952
Baño,3,Infantil y juguetes > Bebé,https://www.dismac.com.bo/categorias/infantil-y-juguetes-152/bebe-179/bano-405.html,7,2025-11-13T00:26:49.598366
Coches y silla para autos,3,Infantil y juguetes > Bebé,https://www.dismac.com.bo/categorias/infantil-y-juguetes-152/bebe-179/coches-y-sillas-para-autos-406.html,40,2025-11-13T00:26:55.186910
Cuidado y salud,3,Infantil y juguetes > Bebé,https://www.dismac.com.bo/categorias/infantil-y-juguetes-152/bebe-179/cuidado-y-salud-409.html,2,2025-11-13T00:26:59.587970
Cunas y corrales,3,Infantil y juguetes > Bebé,https://www.dismac.com.bo/categorias/infantil-y-juguetes-152/bebe-179/cunas-y-corrales-407.html,4,2025-11-13T00:27:03.978745
Mecedoras y actividades,3,Infantil y juguetes > Bebé,https://www.dismac.com.bo/categorias/infantil-y-juguetes-152/bebe-179/mecedoras-y-actividades-408.html,19,2025-11-13T00:27:09.551704
Juguetes,2,Infantil y juguetes,https://www.dismac.com.bo/categorias/infantil-y-juguetes-152/juguetes-176.html,0,2025-11-13T00:27:14.544482
Bebé,3,Infantil y juguetes > Juguetes,https://www.dismac.com.bo/categorias/infantil-y-juguetes-152/juguetes-176/bebe-410.html,16,2025-11-13T00:27:19.605958
Niño,3,Infantil y juguetes > Juguetes,https://www.dismac.com.bo/categorias/infantil-y-juguetes-152/juguetes-176/nino-411.html,47,2025-11-13T00:27:25.088918
Niña,3,Infantil y juguetes > Juguetes,https://www.dismac.com.bo/categorias/infantil-y-juguetes-152/juguetes-176/nina-414.html,90,2025-11-13T00:27:30.786329
Juego de mesa,3,Infantil y juguetes > Juguetes,https://www.dismac.com.bo/categorias/infantil-y-juguetes-152/juguetes-176/juego-de-mesa-455.html,67,2025-11-13T00:27:36.878813
Pedal y paseo,3,Infantil y juguetes > Juguetes,https://www.dismac.com.bo/categorias/infantil-y-juguetes-152/juguetes-176/pedal-y-paseo-456.html,3,2025-11-13T00:27:41.068232
Bicicletas,1,,https://www.dismac.com.bo/categorias/bicicleta-1.html,133,2025-11-13T00:27:47.764602
Bicicletas,2,Bicicletas,https://www.dismac.com.bo/categorias/bicicletas-149.html,0,2025-11-13T00:27:52.614898
Accesorios bicicletas,3,Bicicletas > Bicicletas,https://www.dismac.com.bo/categorias/bicicletas-149/accesorios.html,35,2025-11-13T00:28:00.109707
Bicicletas,3,Bicicletas > Bicicletas,https://www.dismac.com.bo/categorias/bicicletas-149/bicicletas.html,61,2025-11-13T00:28:05.192251
Infantil,3,Bicicletas > Bicicletas,https://www.dismac.com.bo/categorias/bicicletas-149/infantil.html,36,2025-11-13T00:28:10.255011
Oficina y papelería,1,,https://www.dismac.com.bo/categorias/oficina-23.html,93,2025-11-13T00:28:15.967830
Oficina,2,Oficina y papelería,https://www.dismac.com.bo/categorias/oficina-23/oficina-drop-23.html,0,2025-11-13T00:28:20.745340
Calculadoras,3,Oficina y papelería > Oficina,https://www.dismac.com.bo/categorias/oficina-23/oficina-drop-23/calculadoras-5900.html,23,2025-11-13T00:28:27.487596
impresoras,3,Oficina y papelería > Oficina,https://www.dismac.com.bo/categorias/oficina-23/oficina-drop-23/impresoras-2065.html,44,2025-11-13T00:28:32.833696
Muebles de oficina,3,Oficina y papelería > Oficina,https://www.dismac.com.bo/categorias/oficina-23/oficina-drop-23/mueble-de-oficina-127.html,22,2025-11-13T00:28:38.505409
Mascotas,1,,https://www.dismac.com.bo/categorias/mascotas-155.html,5,2025-11-13T00:28:42.897126
Mascotas,2,Mascotas,https://www.dismac.com.bo/categorias/mascotas-155/mascotas-268.html,0,2025-11-13T00:28:46.852365
Accesorios para mascotas,3,Mascotas > Mascotas,https://www.dismac.com.bo/categorias/mascotas-155/mascotas-268/accesorios-para-mascotas-605.html,4,2025-11-13T00:28:51.429125
