scrape_category,product_id,sku,title,categories,regular_price,sale_price,on_sale,discount,stock_status,rating,featured,url,image_url
Seguridad,2839,MBP481,CAMARA DE MONITOREO DE BEBE MOTOROLA,"Cámaras de seguridad, Seguridad",915.00,915.00,Yes,-4%,Out of Stock,0,No,https://www.boliviamart.com/camara-de-monitoreo-de-bebe-motorola/,https://www.boliviamart.com/wp-content/uploads/2020/11/camaravigilanciamonitoreobebeseguridadreciennacidocomprarmotorolambp481onlineboliviaboliviamart2.jpg
Seguridad,2843,MBP33XL,CAMARA DE MONITOREO DE BEBE MOTOROLA DE 3″,"Cámaras de seguridad, Seguridad",1240.00,1240.00,No,N/A,In Stock,0,No,https://www.boliviamart.com/camara-de-monitoreo-de-bebe-motorola-de-3/,https://www.boliviamart.com/wp-content/uploads/2020/11/camarademonitoreodebebemotorolade3pulgadasmbp33xlseguridadcompraronlineboliviaboliviamart1.jpg
Seguridad,2640,GA/T1127-2013,CAMARA DE SEGURIDAD LENOVO  IP 1080P IMPERMEABLE,"Cámaras de seguridad, Seguridad",800.00,800.00,No,N/A,In Stock,0,No,https://www.boliviamart.com/producto/camara-de-seguridad-lenovo-ip-1080p-impermeable/,https://www.boliviamart.com/wp-content/uploads/2020/11/lenovocamaraipimpermeablealairelibrewifi10180pseguridadcontrolmonitoreoboliviaboliviamart.com3.jpg
Seguridad,2665,I31BC,CAMARA DE SEGURIDAD SANNCE I31BC CON APLICACION MOVIL,"Cámaras de seguridad, Seguridad",330.00,330.00,No,N/A,In Stock,0,No,https://www.boliviamart.com/producto/camara-de-seguridad-sannce-i31bc-con-aplicacion-movil/,https://www.boliviamart.com/wp-content/uploads/2020/11/sanncei31bccamaraipwifiseguridadsensorboliviaonlineboliviamart.jpg
Seguridad,2670,I41DC,CAMARA DE SEGURIDAD SANNCE I41DC CON APLICACION MOVIL,"Cámaras de seguridad, Seguridad",550.00,550.00,No,N/A,In Stock,0,No,https://www.boliviamart.com/producto/camara-de-seguridad-sannce-i41dc-con-aplicacion-movil/,https://www.boliviamart.com/wp-content/uploads/2020/11/sanncei41dcseguridadcamaraipmonitoreovigilanciaboliviamartcomonlinebolivia.jpg
Seguridad,2675,q7,CAMARA DE SEGURIDAD SANNCE Q7 CON APLICACION MOVIL,"Cámaras de seguridad, Seguridad",458.00,458.00,No,N/A,In Stock,0,No,https://www.boliviamart.com/producto/camara-de-seguridad-sannce-q7-con-aplicacion-movil/,https://www.boliviamart.com/wp-content/uploads/2020/11/sannceq7camaraseguridadwifiiponlineboliviaboliviamart.com10000.jpg
Seguridad,2689,5YBX6A,CONTROL DE ACCESO 5Y0A 5YBX6A CON LECTOR BIOMETRICO Y SISTEMA RFID,"Controles de Acceso, Seguridad",390.00,390.00,No,N/A,In Stock,0,No,https://www.boliviamart.com/control-de-acceso-5y0a-5ybx6a-con-lector-biometrico-y-sistema-rfid/,https://www.boliviamart.com/wp-content/uploads/2020/11/5yoa5ybx6abiometricocontroldeaccesoporhuelladigitalmaquinadeintercomunicaciondigitalbiometricoonlineboliviamart.com1.jpg
Seguridad,2730,5YA10,REGISTRO DE ASISTENCIA BIOMETRICO 5YOA,"Accesorios, Productos Variados, Seguridad",580.00,580.00,No,N/A,In Stock,0,No,https://www.boliviamart.com/registro-de-asistencia-biometrico-5yoa/,https://www.boliviamart.com/wp-content/uploads/2020/11/controldeasistencia5y0abiometricolectordehuellaescuelasuniversidadesoficinashotelesonlineboliviaboliviamartcom.jpg
Seguridad,2736,P6,SENSOR DE MOVIMIENTO KERUI PIR WIFI,"Seguridad, Sistemas de Seguridad",425.00,425.00,No,N/A,In Stock,0,No,https://www.boliviamart.com/sensor-de-movimiento-kerui-pir-wifi/,https://www.boliviamart.com/wp-content/uploads/2020/11/keruip6seguridadsensordemovimientomonitoreocontrolwifisecuritydetectoronlineboliviaboliviamartcom.jpg
Seguridad,2741,G-19,SISTEMA DE ALARMA KERUI G-19 WIFI GSM,"Seguridad, Sistemas de Seguridad",1540.00,1540.00,No,N/A,In Stock,0,Yes,https://www.boliviamart.com/sistema-de-alarma-kerui-g-19-wifi-gsm/,https://www.boliviamart.com/wp-content/uploads/2020/11/keruisistemadeseguiridadgsmseguridadwificontrolantirobosalarmamonitoreoboliviaboliviamartcom.jpg
Seguridad,2811,S02-A,SISTEMA DE SEGURIDAD FORTRESS KIT COMPLETO,"Seguridad, Sistemas de Seguridad",1095.00,1095.00,No,N/A,In Stock,0,No,https://www.boliviamart.com/sistema-de-seguridad-fortress-kit-completo/,https://www.boliviamart.com/wp-content/uploads/2020/11/sistemadeseguridadfortressalarmasmonitoreoonlineboliviaboliviamartcom.jpg
Seguridad,2751,W2,SISTEMA DE SEGURIDAD KERUI W2 GSM+WIFI+PSTN,"Seguridad, Sistemas de Seguridad",1900.00,1900.00,No,N/A,In Stock,0,No,https://www.boliviamart.com/sistema-de-seguridad-kerui-w2-gsmwifipstn/,https://www.boliviamart.com/wp-content/uploads/2020/11/sistemadeseguiridadsensordemoviemientosensorpuertaventanaseguridadalarmapanelwifigsmonlineboliviaboliviamartcom.jpg
Telefonía y Comunicaciones,2901,50816,ADAPTADOR DE 3 PUERTOS UGREEN,"Accesorios, Celulares y Tablets, Productos Variados",110.00,110.00,No,N/A,Out of Stock,0,No,https://www.boliviamart.com/adaptador-de-3-puertos-ugreen/,https://www.boliviamart.com/wp-content/uploads/2020/11/cargadoradaptador3entradasusbtipoccelularcargarrapidacomprarugreenonlineboliviaboliviamart6.jpeg
Telefonía y Comunicaciones,2587,S308,"ALTAVOZ INALAMBRICO PARA GUIAS TURISTICOS, ANUNCIOS, PROFESORES – MEGAFONO PORTATIL",Equipos de Comunicacion,390.00,390.00,No,N/A,In Stock,0,No,https://www.boliviamart.com/producto/altavoz-inalambrico-para-guias-turisticos-anuncios-profesores-megafono-portatil/,https://www.boliviamart.com/wp-content/uploads/2020/11/altavozshiduparlanteportatilboliviamart1.jpg
Telefonía y Comunicaciones,2597,S308-7,"ALTAVOZ PARA GUIAS TURISTICOS, ANUNCIOS, PROFESORES – MEGAFONO PORTATIL CONEXION INALAMBRICA",Equipos de Comunicacion,660.00,718.00,No,N/A,In Stock,0,No,https://www.boliviamart.com/producto/altavoz-para-guias-turisticos-anuncios-profesores-megafono-portatil-conexion-inalambrica/,https://www.boliviamart.com/wp-content/uploads/2020/11/altavozshiduparlanteportatilboliviamart12.jpg
Telefonía y Comunicaciones,2617,Fire8,"AMAZON TABLET FIRE HD 8 CON ALEXA, PANTALLA DE 8″ (20.3 cm), 16 GB","Celulares y Tablets, Productos Amazon",1200.00,1200.00,No,N/A,Out of Stock,0,No,https://www.boliviamart.com/producto/amazon-tablet-fire-hd-8-con-alexa-pantalla-de-8-20-3-cm-16-gb/,https://www.boliviamart.com/wp-content/uploads/2020/11/amazonfire81.jpg
Telefonía y Comunicaciones,2910,Cargador Portátil PowerCore 26800,Cargador Portátil PowerCore 26800,"Accesorios, Deportes y Aire Libre, Telefonía y Comunicaciones",760.00,760.00,No,N/A,Out of Stock,0,No,https://www.boliviamart.com/cargador-portatil-powercore-26800/,https://www.boliviamart.com/wp-content/uploads/2020/11/a1374211_td06_v1_.jpg
Telefonía y Comunicaciones,2862,Iphone 7 Plus,IPHONE 7 PLUS DE 32GB BLACK,Celulares y Tablets,5800.00,5800.00,Yes,-8%,Out of Stock,0,No,https://www.boliviamart.com/iphone-7-plus-de-32gb-black/,https://www.boliviamart.com/wp-content/uploads/2020/11/iphoneapple7plusblack32GBcelularsmarphonecompraronlineboliviaboliviamart1.jpg
Telefonía y Comunicaciones,2726,Niorfnio,RECEPTOR DE AUDIO TURISMO NIORFNIO,Equipos de Comunicacion,237.00,237.00,No,N/A,In Stock,0,No,https://www.boliviamart.com/receptor-de-audio-turismo-niorfnio/,https://www.boliviamart.com/wp-content/uploads/2020/11/sistemacomunicacionguiaturisticoboliviacompraboliviamart.jpg
Telefonía y Comunicaciones,2746,Niorfnio-83,"SISTEMA DE GUIADO INALAMBRICO PARA TURISMO, DOCENCIA, TRADUCCION – PACK DE 10+1",Equipos de Comunicacion,1507.00,1507.00,No,N/A,In Stock,0,No,https://www.boliviamart.com/sistema-de-guiado-inalambrico-para-turismo-docencia-traduccion-pack-de-101/,https://www.boliviamart.com/wp-content/uploads/2020/11/descarga.jpg
Telefonía y Comunicaciones,2890,40994,SOPORTE DE ANILLO PARA CELULAR UGREEN,"Accesorios, Celulares y Tablets, Productos Variados",70.00,70.00,No,N/A,In Stock,0,No,https://www.boliviamart.com/soporte-de-anillo-para-celular-ugreen/,https://www.boliviamart.com/wp-content/uploads/2020/11/anillosujetadorjovenestendenciacuidadougreenaccesoriosboliviamartboliviacompraronline1.jpg
Telefonía y Comunicaciones,2831,50871,SUJETADOR DE CELULAR MAGNETICO,"Accesorios, Celulares y Tablets, Productos Variados",85.00,85.00,No,N/A,In Stock,0,No,https://www.boliviamart.com/sujetador-de-celular-magnetico/,https://www.boliviamart.com/wp-content/uploads/2020/11/sujetadordecelularsmartphonemagneticoaccesoriodeautomanejosegurougreencomprarboliviaonlineboliviamart.jpg
Telefonía y Comunicaciones,2827,40998,SUJETADOR DE CELULAR UGREEN,"Accesorios, Celulares y Tablets, Productos Variados",100.00,100.00,No,N/A,Out of Stock,0,No,https://www.boliviamart.com/sujetador-de-celular-ugreen/,https://www.boliviamart.com/wp-content/uploads/2020/11/sujetadorugreencelularsmartphoneautoaccesorio40998manejosegurocompraronlineboliviaboliviamart.jpg
Telefonía y Comunicaciones,2762,Niorfnio-87,TRANSMISOR PARA TURISMO – NIORFNIO,Equipos de Comunicacion,1506.00,1506.00,No,N/A,In Stock,0,No,https://www.boliviamart.com/transmisor-para-turismo-niorfnio/,https://www.boliviamart.com/wp-content/uploads/2020/11/sistemacomunicacionguiaturisticoboliviacompraboliviamartjpg.jpg
Videojuegos y Consolas,2915,Audífonos Bluedio Victory,Audífonos Bluedio Victory,"Audio, Videojuegos y Consolas",1300.00,1300.00,No,N/A,Out of Stock,0,No,https://www.boliviamart.com/audifonos-bluedio-victory/,https://www.boliviamart.com/wp-content/uploads/2020/11/612s8pak1jl._sl1100_.jpg
